order_id,order_date,payment_method
O00001,2023-01-29,Card
O00002,2023-04-19,Card
O00003,2024-01-15,Card
O00004,2024-01-12,Cash
O00005,2024-04-09,Card
O00006,2023-03-30,Cash
O00007,2023-11-09,Card
O00008,2023-02-28,Card
O00009,2023-02-02,Online
O00010,2023-12-14,Online
O00011,2023-10-22,Card
O00012,2024-01-27,Cash
O00013,2023-02-02,Cash
O00014,2023-03-28,Cash
O00015,2023-05-05,Card
O00016,2024-02-10,Cash
O00017,2023-02-11,Card
O00018,2023-12-28,Online
O00019,2023-03-06,Online
O00020,2023-08-19,Online
O00021,2023-12-21,Online
O00022,2023-09-13,Cash
O00023,2023-01-03,Card
O00024,2023-09-29,Online
O00025,2023-09-17,Cash
O00026,2023-01-28,Online
O00027,2024-03-08,Card
O00028,2023-12-10,Cash
O00029,2023-04-18,Online
O00030,2024-02-17,Online
O00031,2023-01-27,Card
O00032,2023-09-06,Card
O00033,2024-01-05,Cash
O00034,2023-08-03,Card
O00035,2023-06-16,Online
O00036,2023-07-31,Card
O00037,2023-08-30,Cash
O00038,2023-03-16,Card
O00039,2023-07-18,Online
O00040,2023-04-10,Cash
O00041,2023-03-07,Cash
O00042,2023-03-11,Cash
O00043,2023-03-29,Online
O00044,2023-03-22,Card
O00045,2023-02-14,Card
O00046,2023-10-30,Card
O00047,2024-01-09,Cash
O00048,2023-08-11,Card
O00049,2024-04-12,Card
O00050,2023-01-21,Cash
O00051,2023-09-29,Cash
O00052,2023-09-11,Card
O00053,2023-12-21,Cash
O00054,2023-06-01,Cash
O00055,2023-12-09,Online
O00056,2024-01-18,Cash
O00057,2024-01-31,Cash
O00058,2023-11-17,Cash
O00059,2024-04-02,Cash
O00060,2023-08-07,Online
O00061,2024-02-11,Cash
O00062,2024-01-12,Card
O00063,2023-02-26,Online
O00064,2023-01-21,Online
O00065,2023-10-14,Card
O00066,2023-06-21,Online
O00067,2023-09-02,Cash
O00068,2023-06-30,Cash
O00069,2023-01-28,Cash
O00070,2023-09-06,Cash
O00071,2023-12-30,Cash
O00072,2023-11-14,Cash
O00073,2023-02-14,Cash
O00074,2024-05-05,Cash
O00075,2023-02-27,Card
O00076,2023-09-24,Online
O00077,2023-10-05,Cash
O00078,2023-08-16,Card
O00079,2023-01-12,Cash
O00080,2023-10-24,Online
O00081,2023-12-07,Cash
O00082,2023-06-05,Card
O00083,2024-02-09,Cash
O00084,2024-05-12,Cash
O00085,2023-05-26,Card
O00086,2023-12-31,Card
O00087,2024-03-05,Card
O00088,2023-01-22,Cash
O00089,2023-05-14,Online
O00090,2023-12-29,Card
O00091,2023-07-10,Online
O00092,2023-06-04,Cash
O00093,2024-01-29,Card
O00094,2023-01-03,Online
